year,quarter,total
2008,3,18326
2008,4,40000
2009,1,54569
2009,2,76307
2009,3,99219
2009,4,113621
2010,1,143106
2010,2,159079
2010,3,187202
2010,4,204715
2011,1,267283
2011,2,299447
2011,3,314590
2011,4,318751
2012,1,380793
2012,2,401569
2012,3,422558
2012,4,439785
2013,1,494853
2013,2,506593
2013,3,522156
2013,4,535701
2014,1,596199
2014,2,544806
2014,3,517299
2014,4,504995
2015,1,533999
2015,2,573367
2015,3,564139
2015,4,546249
2016,1,581405
2016,2,580948
2016,3,539260
2016,4,522107
2017,1,563902
2017,2,554227
2017,3,553786
2017,4,565932
2018,1,569108
2018,2,574626
2018,3,402990
