year,quarter,total
2008,3,562
2008,4,997
2009,1,1133
2009,2,1507
2009,3,1716
2009,4,1785
2010,1,2460
2010,2,2468
2010,3,2923
2010,4,3076
2011,1,4148
2011,2,4195
2011,3,4375
2011,4,4318
2012,1,5304
2012,2,5436
2012,3,5685
2012,4,5567
2013,1,6208
2013,2,6504
2013,3,6360
2013,4,6132
2014,1,6731
2014,2,5942
2014,3,5435
2014,4,5295
2015,1,5912
2015,2,6345
2015,3,5858
2015,4,5708
2016,1,6397
2016,2,7314
2016,3,7598
2016,4,7257
2017,1,8216
2017,2,8161
2017,3,8105
2017,4,8001
2018,1,8389
2018,2,8364
2018,3,5625
