year,quarter,total
2008,3,75
2008,4,554
2009,1,1184
2009,2,2709
2009,3,4552
2009,4,5039
2010,1,7153
2010,2,8800
2010,3,11278
2010,4,10568
2011,1,13786
2011,2,14916
2011,3,14705
2011,4,12585
2012,1,12754
2012,2,12319
2012,3,11600
2012,4,10319
2013,1,9312
2013,2,7674
2013,3,7058
2013,4,6335
2014,1,6257
2014,2,2705
2014,3,3046
2014,4,3822
2015,1,3375
2015,2,3100
2015,3,3422
2015,4,2546
2016,1,2370
2016,2,2062
2016,3,1811
2016,4,1724
2017,1,1570
2017,2,1525
2017,3,1505
2017,4,1544
2018,1,1113
2018,2,897
2018,3,708
