year,quarter,total
2008,3,893
2008,4,1580
2009,1,1817
2009,2,2303
2009,3,2488
2009,4,2809
2010,1,3189
2010,2,3216
2010,3,3686
2010,4,4605
2011,1,5512
2011,2,5897
2011,3,6186
2011,4,5958
2012,1,7583
2012,2,8224
2012,3,8097
2012,4,9609
2013,1,10037
2013,2,9416
2013,3,9548
2013,4,9225
2014,1,10422
2014,2,9148
2014,3,8668
2014,4,7720
2015,1,7800
2015,2,7817
2015,3,8293
2015,4,7001
2016,1,7041
2016,2,6642
2016,3,5976
2016,4,5344
2017,1,5685
2017,2,5434
2017,3,5458
2017,4,5415
2018,1,5261
2018,2,5112
2018,3,3745
