year,quarter,total
2008,3,13
2008,4,27
2009,1,132
2009,2,254
2009,3,539
2009,4,1104
2010,1,3342
2010,2,5080
2010,3,8296
2010,4,10830
2011,1,16895
2011,2,22008
2011,3,24225
2011,4,25048
2012,1,30927
2012,2,32519
2012,3,34302
2012,4,34279
2013,1,38750
2013,2,38717
2013,3,41482
2013,4,39801
2014,1,47763
2014,2,42683
2014,3,41426
2014,4,38766
2015,1,40838
2015,2,43925
2015,3,43939
2015,4,41086
2016,1,44331
2016,2,45480
2016,3,41884
2016,4,36137
2017,1,39641
2017,2,36798
2017,3,37801
2017,4,38028
2018,1,37094
2018,2,36574
2018,3,26236
