year,quarter,total
2008,3,2155
2008,4,5392
2009,1,8196
2009,2,10862
2009,3,13338
2009,4,14111
2010,1,16480
2010,2,18316
2010,3,20509
2010,4,21722
2011,1,27178
2011,2,30175
2011,3,30112
2011,4,29467
2012,1,34256
2012,2,35511
2012,3,36879
2012,4,37143
2013,1,40959
2013,2,41646
2013,3,43152
2013,4,44566
2014,1,47902
2014,2,42840
2014,3,39388
2014,4,36261
2015,1,37530
2015,2,40738
2015,3,40970
2015,4,37940
2016,1,39353
2016,2,41017
2016,3,36507
2016,4,34351
2017,1,36859
2017,2,35055
2017,3,33677
2017,4,32343
2018,1,31049
2018,2,31568
2018,3,22581
