year,quarter,total
2008,3,995
2008,4,2323
2009,1,2950
2009,2,3785
2009,3,4656
2009,4,5448
2010,1,7220
2010,2,8289
2010,3,8582
2010,4,10027
2011,1,11812
2011,2,12686
2011,3,12522
2011,4,13949
2012,1,15686
2012,2,15896
2012,3,16196
2012,4,18730
2013,1,20326
2013,2,21300
2013,3,20462
2013,4,24066
2014,1,25162
2014,2,21616
2014,3,19260
2014,4,20517
2015,1,21001
2015,2,21446
2015,3,19433
2015,4,21595
2016,1,20525
2016,2,19720
2016,3,16403
2016,4,18147
2017,1,17947
2017,2,16724
2017,3,15450
2017,4,16522
2018,1,16322
2018,2,15241
2018,3,9639
