year,quarter,total
2008,3,308
2008,4,646
2009,1,1007
2009,2,1425
2009,3,2213
2009,4,2432
2010,1,3170
2010,2,3662
2010,3,4422
2010,4,4812
2011,1,6833
2011,2,8009
2011,3,9283
2011,4,9318
2012,1,11459
2012,2,12314
2012,3,14138
2012,4,14394
2013,1,17068
2013,2,18394
2013,3,21170
2013,4,22376
2014,1,25937
2014,2,23542
2014,3,22147
2014,4,20162
2015,1,21673
2015,2,23510
2015,3,23474
2015,4,21415
2016,1,22187
2016,2,22082
2016,3,21410
2016,4,19690
2017,1,22059
2017,2,20437
2017,3,20023
2017,4,19182
2018,1,17738
2018,2,16900
2018,3,12007
