year,quarter,total
2008,3,490
2008,4,1132
2009,1,1609
2009,2,2166
2009,3,3232
2009,4,3728
2010,1,5028
2010,2,5723
2010,3,7196
2010,4,7841
2011,1,11054
2011,2,12758
2011,3,14346
2011,4,14377
2012,1,17881
2012,2,19696
2012,3,22234
2012,4,22642
2013,1,26935
2013,2,28701
2013,3,32387
2013,4,34447
2014,1,40398
2014,2,36130
2014,3,33582
2014,4,31116
2015,1,33627
2015,2,36355
2015,3,36032
2015,4,33739
2016,1,35145
2016,2,34882
2016,3,33001
2016,4,30855
2017,1,34033
2017,2,32751
2017,3,31246
2017,4,29798
2018,1,28374
2018,2,27501
2018,3,19196
