year,quarter,total
2008,3,37
2008,4,108
2009,1,149
2009,2,197
2009,3,279
2009,4,312
2010,1,485
2010,2,694
2010,3,1949
2010,4,3695
2011,1,6427
2011,2,9115
2011,3,11402
2011,4,14269
2012,1,18143
2012,2,19621
2012,3,21138
2012,4,21740
2013,1,21909
2013,2,21026
2013,3,22537
2013,4,24523
2014,1,26283
2014,2,24066
2014,3,25177
2014,4,24150
2015,1,24362
2015,2,26411
2015,3,28329
2015,4,25074
2016,1,24216
2016,2,22662
2016,3,22457
2016,4,20243
2017,1,19386
2017,2,18348
2017,3,19482
2017,4,18731
2018,1,16981
2018,2,15011
2018,3,10968
