year,quarter,total
2008,3,1394
2008,4,3012
2009,1,3914
2009,2,5636
2009,3,6940
2009,4,8198
2010,1,12049
2010,2,12674
2010,3,14259
2010,4,16638
2011,1,22512
2011,2,25128
2011,3,26070
2011,4,28337
2012,1,34730
2012,2,36558
2012,3,37369
2012,4,40902
2013,1,44965
2013,2,47068
2013,3,47786
2013,4,56142
2014,1,61405
2014,2,56154
2014,3,51106
2014,4,53670
2015,1,54663
2015,2,57894
2015,3,54136
2015,4,54276
2016,1,56007
2016,2,54130
2016,3,46268
2016,4,46495
2017,1,48227
2017,2,48719
2017,3,44028
2017,4,47491
2018,1,44585
2018,2,46280
2018,3,29718
