year,quarter,total
2008,3,806
2008,4,1939
2009,1,2766
2009,2,4059
2009,3,5400
2009,4,6631
2010,1,8309
2010,2,9775
2010,3,11965
2010,4,13757
2011,1,18079
2011,2,22222
2011,3,25630
2011,4,25476
2012,1,30856
2012,2,34121
2012,3,36552
2012,4,37105
2013,1,43593
2013,2,45736
2013,3,52114
2013,4,56977
2014,1,65736
2014,2,60381
2014,3,57467
2014,4,54645
2015,1,58388
2015,2,66362
2015,3,68220
2015,4,64878
2016,1,69821
2016,2,69338
2016,3,65987
2016,4,61400
2017,1,66925
2017,2,65885
2017,3,64939
2017,4,63585
2018,1,62420
2018,2,60643
2018,3,42916
