year,quarter,total
2008,3,167
2008,4,790
2009,1,1493
2009,2,2873
2009,3,4735
2009,4,5682
2010,1,7831
2010,2,8928
2010,3,11345
2010,4,12501
2011,1,16912
2011,2,20430
2011,3,23283
2011,4,23228
2012,1,28093
2012,2,30017
2012,3,31563
2012,4,31695
2013,1,36215
2013,2,37472
2013,3,40671
2013,4,39850
2014,1,43492
2014,2,38640
2014,3,35525
2014,4,31453
2015,1,32233
2015,2,34984
2015,3,34082
2015,4,30761
2016,1,31521
2016,2,29652
2016,3,27931
2016,4,25238
2017,1,26720
2017,2,25260
2017,3,23872
2017,4,22040
2018,1,19489
2018,2,16832
2018,3,11590
