year,quarter,total
2008,3,306
2008,4,857
2009,1,1202
2009,2,1780
2009,3,2906
2009,4,3583
2010,1,4399
2010,2,5093
2010,3,5748
2010,4,6520
2011,1,9255
2011,2,10145
2011,3,11106
2011,4,11000
2012,1,13268
2012,2,14444
2012,3,15191
2012,4,15592
2013,1,18111
2013,2,18045
2013,3,19233
2013,4,20359
2014,1,23365
2014,2,21079
2014,3,18452
2014,4,18779
2015,1,19402
2015,2,20144
2015,3,19620
2015,4,18952
2016,1,20123
2016,2,19927
2016,3,17138
2016,4,16183
2017,1,18307
2017,2,17525
2017,3,16785
2017,4,15948
2018,1,15150
2018,2,15050
2018,3,9850
