year,quarter,total
2008,3,667
2008,4,1631
2009,1,2345
2009,2,3847
2009,3,6730
2009,4,8101
2010,1,10698
2010,2,12119
2010,3,15049
2010,4,15633
2011,1,22149
2011,2,24853
2011,3,26995
2011,4,26316
2012,1,31842
2012,2,33811
2012,3,36565
2012,4,36456
2013,1,41955
2013,2,41689
2013,3,45292
2013,4,46924
2014,1,54441
2014,2,48048
2014,3,43141
2014,4,41179
2015,1,44340
2015,2,46308
2015,3,45317
2015,4,43043
2016,1,46885
2016,2,44739
2016,3,39972
2016,4,37642
2017,1,41341
2017,2,39367
2017,3,37184
2017,4,35948
2018,1,34330
2018,2,32073
2018,3,22371
