year,quarter,total
2008,3,684
2008,4,1430
2009,1,2088
2009,2,2907
2009,3,3562
2009,4,4682
2010,1,6031
2010,2,6153
2010,3,7495
2010,4,7930
2011,1,9886
2011,2,10601
2011,3,11278
2011,4,11432
2012,1,14230
2012,2,15932
2012,3,17548
2012,4,19158
2013,1,22146
2013,2,24880
2013,3,26134
2013,4,29184
2014,1,33201
2014,2,30930
2014,3,29728
2014,4,30372
2015,1,34002
2015,2,37244
2015,3,37443
2015,4,39378
2016,1,43422
2016,2,43813
2016,3,42107
2016,4,45089
2017,1,51351
2017,2,53714
2017,3,56611
2017,4,61076
2018,1,63236
2018,2,65830
2018,3,49007
