year,quarter,total
2008,3,196
2008,4,491
2009,1,667
2009,2,937
2009,3,1301
2009,4,1426
2010,1,1787
2010,2,1998
2010,3,2562
2010,4,2705
2011,1,3327
2011,2,3820
2011,3,3950
2011,4,3968
2012,1,4630
2012,2,4761
2012,3,5256
2012,4,5366
2013,1,6026
2013,2,6239
2013,3,6908
2013,4,7645
2014,1,8148
2014,2,7309
2014,3,7080
2014,4,6738
2015,1,6953
2015,2,7451
2015,3,7274
2015,4,6758
2016,1,7158
2016,2,6311
2016,3,5609
2016,4,5456
2017,1,5931
2017,2,5699
2017,3,5501
2017,4,5021
2018,1,5422
2018,2,5285
2018,3,3857
