year,quarter,total
2008,3,1702
2008,4,3744
2009,1,5108
2009,2,7107
2009,3,9254
2009,4,10173
2010,1,12019
2010,2,13362
2010,3,15170
2010,4,16400
2011,1,21327
2011,2,23453
2011,3,24798
2011,4,24606
2012,1,29582
2012,2,31715
2012,3,33503
2012,4,34511
2013,1,39609
2013,2,40701
2013,3,42660
2013,4,44985
2014,1,50393
2014,2,46729
2014,3,42355
2014,4,39979
2015,1,42205
2015,2,44406
2015,3,43412
2015,4,41197
2016,1,44765
2016,2,45200
2016,3,40852
2016,4,39545
2017,1,43196
2017,2,42902
2017,3,41311
2017,4,40119
2018,1,39440
2018,2,40298
2018,3,27333
