year,quarter,total
2008,3,24
2008,4,66
2009,1,151
2009,2,317
2009,3,563
2009,4,550
2010,1,884
2010,2,1040
2010,3,1525
2010,4,1352
2011,1,2813
2011,2,3753
2011,3,4576
2011,4,4958
2012,1,5823
2012,2,6618
2012,3,7186
2012,4,6574
2013,1,5894
2013,2,3898
2013,3,3133
2013,4,3881
2014,1,3737
2014,2,3744
2014,3,6061
2014,4,6851
2015,1,5754
2015,2,5583
2015,3,6790
2015,4,5226
2016,1,4609
2016,2,4416
2016,3,5029
2016,4,5095
2017,1,4267
2017,2,4052
2017,3,4182
2017,4,4069
2018,1,3394
2018,2,3262
2018,3,2517
