year,month,total
2008,7,9
2008,8,2813
2008,9,9660
2008,10,3553
2008,11,2863
2008,12,2787
2009,1,3303
2009,2,3569
2009,3,4126
2009,4,4218
2009,5,5339
2009,6,5390
2009,7,5683
2009,8,5736
2009,9,5720
2009,10,10083
2009,11,12910
2009,12,12064
2010,1,13085
2010,2,12321
2010,3,14176
2010,4,15041
2010,5,15793
2010,6,16457
2010,7,17472
2010,8,18287
2010,9,17058
2010,10,18484
2010,11,20362
2010,12,20982
2011,1,24527
2011,2,26278
2011,3,30814
2011,4,29514
2011,5,29336
2011,6,29665
2011,7,31667
2011,8,32546
2011,9,31904
2011,10,30349
2011,11,32032
2011,12,30828
2012,1,35149
2012,2,37754
2012,3,40481
2012,4,39215
2012,5,57231
2012,6,58688
2012,7,68011
2012,8,66319
2012,9,64351
2012,10,73693
2012,11,72286
2012,12,67384
2013,1,81655
2013,2,84673
2013,3,100685
2013,4,100660
2013,5,98108
2013,6,89517
2013,7,96507
2013,8,90040
2013,9,90684
2013,10,102862
2013,11,98781
2013,12,91407
2014,1,102574
2014,2,100938
2014,3,108715
2014,4,100874
2014,5,96740
2014,6,90152
2014,7,98093
2014,8,90956
2014,9,95211
2014,10,101364
2014,11,99536
2014,12,93778
2015,1,99426
2015,2,97256
2015,3,110599
2015,4,110819
2015,5,101715
2015,6,102499
2015,7,106902
2015,8,101171
2015,9,103952
2015,10,110578
2015,11,106989
2015,12,105884
2016,1,125267
2016,2,124457
2016,3,137107
2016,4,128961
2016,5,125661
2016,6,123007
2016,7,120965
2016,8,114160
2016,9,121457
2016,10,183057
2016,11,132197
2016,12,122379
2017,1,131229
2017,2,136844
2017,3,157452
2017,4,141852
2017,5,145916
2017,6,141205
2017,7,151326
2017,8,145395
2017,9,152745
2017,10,159317
2017,11,153135
2017,12,119901
2018,1,134550
2018,2,126077
2018,3,149483
2018,4,138557
2018,5,151566
2018,6,134976
2018,7,143456
2018,8,136769
2018,9,134398
2018,10,147526
2018,11,139630
2018,12,3601
