Title,Grade,Description,Awarded
Altruist, bronze badge,  First bounty you manually award on another person's question,8527
Benefactor, bronze badge,  First bounty you manually award on your own question,40981
Curious, bronze badge,  Ask a well-received question on 5 separate days and maintain a positive question record,298149
Inquisitive, silver badge,  Ask a well-received question on 30 separate days and maintain a positive question record,29800
Socratic, gold badge,  Ask a well-received question on 100 separate days and maintain a positive question record,3573
Favorite Question, silver badge,  Question favorited by 25 users,45367
Stellar Question, gold badge,  Question favorited by 100 users,6595
Investor, bronze badge,  First bounty you offer on another person's question,17158
Nice Question, bronze badge,  Question score of 10 or more,524209
Good Question, silver badge,  Question score of 25 or more,171455
Great Question, gold badge,  Question score of 100 or more,29344
Popular Question, bronze badge,  Question with 1000 views,4007497
Notable Question, silver badge,  Question with 2500 views,1989820
Famous Question, gold badge,  Question with 10000 views,572353
Promoter, bronze badge,  First bounty you offer on your own question,72239
Scholar, bronze badge,  Ask a question and accept an answer,1688966
Student, bronze badge,  First question with score of 1 or more,2055747
Tumbleweed, bronze badge,  Asked a question with zero score no answers no comments and low views for a week,1068149
Enlightened, silver badge,  First to answer and accepted with score of 10 or more,347026
Explainer, bronze badge,  Edit and answer 1 question (both actions within 12 hours answer score > 0),58951
Refiner, silver badge,  Edit and answer 50 questions (both actions within 12 hours answer score > 0),1878
Illuminator, gold badge,  Edit and answer 500 questions (both actions within 12 hours answer score > 0),100
Generalist, silver badge,  Provide non-wiki answers of 15 total score in 20 of top 40 tags,1019
Guru, silver badge,  Accepted answer and score of 40 or more,115886
Nice Answer, bronze badge,  Answer score of 10 or more,1086444
Good Answer, silver badge,  Answer score of 25 or more,365338
Great Answer, gold badge,  Answer score of 100 or more,64274
Populist, gold badge,  Highest scoring answer that outscored an accepted answer with score of more than 10 by more than 2x,18028
Reversal, gold badge,  Provide an answer of +20 score to a question of -5 score,297
Revival, bronze badge,  Answer more than 30 days after a question was asked as first answer scoring 2 or more,347560
Necromancer, silver badge,  Answer a question more than 60 days later with score of 5 or more,492307
Self-Learner, bronze badge,  Answer your own question with score of 3 or more,130298
Teacher, bronze badge,  Answer a question with score of 1 or more,1338303
Tenacious, silver badge,  Zero score accepted answers: more than 5 and 20% of total,50582
Unsung Hero, gold badge,  Zero score accepted answers: more than 10 and 25% of total,19913
Autobiographer, bronze badge,"  Complete ""About Me"" section of user profile",855858
Caucus, bronze badge,  Visit an election during any phase of an active election and have enough reputation to cast a vote,573304
Constituent, silver badge,  Vote for a candidate in the final phase of an election,186203
Commentator, bronze badge,  Leave 10 comments,844341
Pundit, silver badge,  Leave 10 comments with score of 5 or more,9733
Enthusiast, silver badge,  Visit the site each day for 30 consecutive days. (Days are counted in UTC.),197012
Fanatic, gold badge,  Visit the site each day for 100 consecutive days. (Days are counted in UTC.),29674
Mortarboard, bronze badge,  Earn at least 200 reputation (the daily maximum) in a single day,30097
Epic, silver badge,  Earn 200 daily reputation 50 times,670
Legendary, gold badge,  Earn 200 daily reputation 150 times,257
Precognitive, bronze badge,  Followed the Area 51 proposal for this site before it entered the commitment phase,0
Beta, silver badge,  Voted 10 times added 3 posts score > 0 and visited the site on 3 separate days during the private beta,2508
Quorum, bronze badge,  One post with score of 2 on meta,25876
Convention, silver badge,  10 posts with score of 2 on meta,2091
Talkative, bronze badge,  Post 10 messages with 1 or more starred in chat,9930
Outspoken, silver badge,  Post 10 messages in chat starred by 10 different users,1270
Yearling, silver badge,  Active member for a year earning at least 200 reputation,1457033
Citizen Patrol, bronze badge,  First flagged post,186337
Deputy, silver badge,  Raise 80 helpful flags,11235
Marshal, gold badge,  Raise 500 helpful flags,2686
Civic Duty, silver badge,  Vote 300 or more times,85606
